episode_index,length,duration_sec
0,1598,53.266666666666666
1,1669,55.63333333333333
2,1930,64.33333333333333
3,1612,53.733333333333334
4,1695,56.5
5,1793,59.766666666666666
6,1725,57.5
7,1618,53.93333333333333
8,1500,50.0
9,1560,52.0
10,1446,48.2
11,1778,59.266666666666666
12,2492,83.06666666666666
13,1578,52.6
14,1901,63.36666666666667
15,1728,57.6
16,1804,60.13333333333333
17,1622,54.06666666666667
18,1806,60.2
19,1530,51.0
20,1884,62.8
21,2421,80.7
22,1365,45.5
23,1753,58.43333333333333
24,1505,50.166666666666664
25,1650,55.0
26,1685,56.166666666666664
27,1702,56.733333333333334
28,1576,52.53333333333333
29,1769,58.96666666666667
30,1778,59.266666666666666
31,1698,56.6
32,1481,49.36666666666667
33,1492,49.733333333333334
34,2073,69.1
35,1545,51.5
36,1542,51.4
37,1482,49.4
38,1427,47.56666666666667
39,1644,54.8
40,1786,59.53333333333333
41,2415,80.5
42,3175,105.83333333333333
43,2329,77.63333333333334
44,2739,91.3
45,2246,74.86666666666666
46,2347,78.23333333333333
47,2961,98.7
48,2425,80.83333333333333
49,2547,84.9
50,2641,88.03333333333333
51,2012,67.06666666666666
52,2382,79.4
53,1932,64.4
54,2013,67.1
55,2119,70.63333333333334
56,2160,72.0
57,2487,82.9
58,2087,69.56666666666666
59,1843,61.43333333333333
60,1403,46.766666666666666
61,1405,46.833333333333336
62,1466,48.86666666666667
63,2022,67.4
64,1775,59.166666666666664
65,2207,73.56666666666666
66,1926,64.2
67,2002,66.73333333333333
68,1475,49.166666666666664
69,1749,58.3
70,1967,65.56666666666666
71,2032,67.73333333333333
72,1622,54.06666666666667
73,1713,57.1
74,2521,84.03333333333333
75,1398,46.6
76,2018,67.26666666666667
77,1914,63.8
78,1872,62.4
79,1545,51.5
80,1736,57.86666666666667
81,1806,60.2
82,1863,62.1
83,1768,58.93333333333333
84,2241,74.7
85,1607,53.56666666666667
86,1515,50.5
87,2190,73.0
88,2115,70.5
89,2170,72.33333333333333
90,1367,45.56666666666667
91,873,29.1
92,1527,50.9
93,988,32.93333333333333
94,2125,70.83333333333333
95,912,30.4
96,1027,34.233333333333334
97,1739,57.96666666666667
98,1821,60.7
99,1510,50.333333333333336
100,1481,49.36666666666667
101,1123,37.43333333333333
102,1100,36.666666666666664
103,1059,35.3
104,1155,38.5
105,1366,45.53333333333333
106,1423,47.43333333333333
107,1715,57.166666666666664
108,1064,35.46666666666667
109,1564,52.13333333333333
110,1080,36.0
111,949,31.633333333333333
112,1749,58.3
113,1325,44.166666666666664
114,1467,48.9
115,1475,49.166666666666664
116,1384,46.13333333333333
117,1404,46.8
118,1246,41.53333333333333
119,1733,57.766666666666666
120,1860,62.0
121,1245,41.5
122,1087,36.233333333333334
123,1431,47.7
124,1324,44.13333333333333
125,1513,50.43333333333333
126,1465,48.833333333333336
127,1299,43.3
128,1309,43.63333333333333
129,1255,41.833333333333336
130,2080,69.33333333333333
131,1721,57.36666666666667
132,1905,63.5
133,1421,47.36666666666667
134,1839,61.3
135,1497,49.9
136,1525,50.833333333333336
137,1473,49.1
138,1831,61.03333333333333
139,1290,43.0
140,1342,44.733333333333334
141,1257,41.9
142,1524,50.8
143,1260,42.0
144,1385,46.166666666666664
145,780,26.0
146,792,26.4
147,908,30.266666666666666
148,744,24.8
149,842,28.066666666666666
150,791,26.366666666666667
151,752,25.066666666666666
152,738,24.6
153,766,25.533333333333335
154,771,25.7
155,919,30.633333333333333
156,908,30.266666666666666
157,745,24.833333333333332
158,923,30.766666666666666
159,838,27.933333333333334
160,907,30.233333333333334
161,950,31.666666666666668
162,831,27.7
163,921,30.7
164,923,30.766666666666666
165,1074,35.8
166,963,32.1
167,874,29.133333333333333
168,1211,40.36666666666667
169,1144,38.13333333333333
170,837,27.9
171,1006,33.53333333333333
172,920,30.666666666666668
173,1011,33.7
174,1122,37.4
175,1147,38.233333333333334
176,1139,37.96666666666667
177,1121,37.36666666666667
178,994,33.13333333333333
179,1177,39.233333333333334
180,895,29.833333333333332
181,1019,33.96666666666667
182,914,30.466666666666665
183,879,29.3
184,837,27.9
185,799,26.633333333333333
186,1052,35.06666666666667
187,780,26.0
188,931,31.033333333333335
189,577,19.233333333333334
190,614,20.466666666666665
191,595,19.833333333333332
192,772,25.733333333333334
193,684,22.8
194,670,22.333333333333332
195,782,26.066666666666666
196,892,29.733333333333334
197,824,27.466666666666665
198,998,33.266666666666666
199,771,25.7
200,871,29.033333333333335
201,849,28.3
202,810,27.0
203,936,31.2
204,979,32.63333333333333
205,926,30.866666666666667
206,791,26.366666666666667
207,774,25.8
208,852,28.4
209,821,27.366666666666667
210,756,25.2
211,723,24.1
212,756,25.2
213,728,24.266666666666666
214,902,30.066666666666666
215,729,24.3
216,776,25.866666666666667
217,993,33.1
218,797,26.566666666666666
219,804,26.8
220,934,31.133333333333333
221,818,27.266666666666666
222,730,24.333333333333332
223,820,27.333333333333332
224,941,31.366666666666667
225,945,31.5
226,914,30.466666666666665
227,776,25.866666666666667
228,810,27.0
229,934,31.133333333333333
230,923,30.766666666666666
231,1069,35.63333333333333
232,1014,33.8
233,967,32.233333333333334
234,957,31.9
235,930,31.0
236,976,32.53333333333333
237,874,29.133333333333333
238,954,31.8
239,833,27.766666666666666
240,984,32.8
241,1188,39.6
242,910,30.333333333333332
243,745,24.833333333333332
244,831,27.7
245,995,33.166666666666664
246,984,32.8
247,895,29.833333333333332
248,873,29.1
249,856,28.533333333333335
250,835,27.833333333333332
251,836,27.866666666666667
252,955,31.833333333333332
253,1005,33.5
254,809,26.966666666666665
255,963,32.1
256,825,27.5
257,893,29.766666666666666
258,1119,37.3
259,1469,48.96666666666667
260,1787,59.56666666666667
261,1769,58.96666666666667
262,1668,55.6
263,1611,53.7
264,2075,69.16666666666667
265,1572,52.4
266,1879,62.63333333333333
267,1689,56.3
268,1510,50.333333333333336
269,1662,55.4
270,1522,50.733333333333334
271,1628,54.266666666666666
272,1678,55.93333333333333
273,1723,57.43333333333333
274,1645,54.833333333333336
275,1998,66.6
276,1717,57.233333333333334
277,1576,52.53333333333333
278,1549,51.63333333333333
279,1747,58.233333333333334
280,1437,47.9
281,1370,45.666666666666664
282,1566,52.2
283,1561,52.03333333333333
284,1415,47.166666666666664
285,1720,57.333333333333336
286,1662,55.4
287,1495,49.833333333333336
288,1604,53.46666666666667
289,1517,50.56666666666667
290,1656,55.2
291,1859,61.96666666666667
292,1786,59.53333333333333
293,2311,77.03333333333333
294,1859,61.96666666666667
295,1735,57.833333333333336
296,1656,55.2
297,1859,61.96666666666667
298,36,1.2
299,1748,58.266666666666666
300,2311,77.03333333333333
301,1859,61.96666666666667
302,1735,57.833333333333336
303,1870,62.333333333333336
304,1501,50.03333333333333
305,1908,63.6
306,1836,61.2
307,2135,71.16666666666667
308,2071,69.03333333333333
309,2253,75.1
310,1749,58.3
311,1582,52.733333333333334
312,1618,53.93333333333333
313,1621,54.03333333333333
314,1630,54.333333333333336
315,1952,65.06666666666666
316,1797,59.9
317,1558,51.93333333333333
318,1500,50.0
319,1338,44.6
320,1647,54.9
321,1456,48.53333333333333
322,1615,53.833333333333336
323,42,1.4
324,1604,53.46666666666667
325,1582,52.733333333333334
326,1551,51.7
327,1536,51.2
328,1653,55.1
329,1487,49.56666666666667
330,1575,52.5
331,1603,53.43333333333333
332,1659,55.3
333,1668,55.6
334,1443,48.1
335,39,1.3
336,1533,51.1
337,1561,52.03333333333333
338,1539,51.3
339,1696,56.53333333333333
340,1472,49.06666666666667
341,1409,46.96666666666667
342,1557,51.9
343,1617,53.9
344,1621,54.03333333333333
345,1609,53.63333333333333
346,1587,52.9
347,1650,55.0
348,1584,52.8
349,1716,57.2
350,1702,56.733333333333334
351,1955,65.16666666666667
352,1797,59.9
353,1562,52.06666666666667
354,1579,52.63333333333333
355,1540,51.333333333333336
356,1473,49.1
357,1663,55.43333333333333
358,1558,51.93333333333333
359,1506,50.2
360,1503,50.1
361,1453,48.43333333333333
362,1399,46.63333333333333
363,1237,41.233333333333334
364,39,1.3
365,1518,50.6
366,1402,46.733333333333334
367,1536,51.2
368,1318,43.93333333333333
369,1485,49.5
370,1511,50.36666666666667
371,1647,54.9
372,1456,48.53333333333333
373,1865,62.166666666666664
374,1468,48.93333333333333
375,1614,53.8
376,1363,45.43333333333333
377,1500,50.0
