dimension,episode,mean,min,max
eef_x,0,-0.12689749896526337,-0.3923456370830536,0.10485351830720901
eef_y,0,0.18234430253505707,0.08447307348251343,0.33594977855682373
eef_z,0,-0.1162925437092781,-0.21059711277484894,-0.025201374664902687
rot_x,0,-1.6744592189788818,-1.8145344257354736,-1.4252822399139404
rot_y,0,-0.18808232247829437,-0.3657306134700775,0.007591655477881432
rot_z,0,0.1466403752565384,0.08187109231948853,0.22331878542900085
gripper,0,0.0558161586523056,0.024845335632562637,0.08009347319602966
eef_x,1,-0.13944107294082642,-0.31686365604400635,-0.005943687167018652
eef_y,1,0.21280832588672638,0.0854174941778183,0.3318106532096863
eef_z,1,-0.06593243777751923,-0.14358623325824738,0.029056323692202568
rot_x,1,-1.5434634685516357,-1.800286889076233,-1.2158124446868896
rot_y,1,-0.13867543637752533,-0.3284040689468384,0.10386695712804794
rot_z,1,0.15780320763587952,0.11253628134727478,0.22448158264160156
gripper,1,0.052998557686805725,0.025325333699584007,0.08009347319602966
eef_x,2,-0.10467343032360077,-0.2581443190574646,0.06589166820049286
eef_y,2,0.22084403038024902,0.10035131871700287,0.34542152285575867
eef_z,2,-0.07147932052612305,-0.1627848744392395,0.016589004546403885
rot_x,2,-1.6466312408447266,-1.9206147193908691,-1.3614294528961182
rot_y,2,-0.15133832395076752,-0.24456094205379486,0.0417952723801136
rot_z,2,0.11638005822896957,0.009092580527067184,0.1983460783958435
gripper,2,0.054808713495731354,0.0027577218133956194,0.08009347319602966
eef_x,3,-0.046661872416734695,-0.23083215951919556,0.08245596289634705
eef_y,3,0.19464397430419922,0.07170716673135757,0.34496983885765076
eef_z,3,-0.10095978528261185,-0.17864638566970825,0.0011272174306213856
rot_x,3,-1.5765230655670166,-1.8194705247879028,-1.2828247547149658
rot_y,3,-0.2528429329395294,-0.600018322467804,-0.08014031499624252
rot_z,3,0.13153943419456482,0.04805004224181175,0.197299063205719
gripper,3,0.0581744946539402,0.026325972750782967,0.08009347319602966
eef_x,4,-0.047147080302238464,-0.22361284494400024,0.06276633590459824
eef_y,4,0.20974698662757874,0.09032189846038818,0.340620756149292
eef_z,4,-0.08170823752880096,-0.17407898604869843,0.011788945645093918
rot_x,4,-1.6028720140457153,-1.8325912952423096,-1.3303076028823853
rot_y,4,-0.2933259606361389,-0.568949282169342,-0.11519581824541092
rot_z,4,0.15582053363323212,0.08745206147432327,0.22514502704143524
gripper,4,0.05552424117922783,0.024895397946238518,0.08009347319602966
eef_x,5,-0.07389584183692932,-0.19682903587818146,0.07641350477933884
eef_y,5,0.19900229573249817,0.084294892847538,0.28539904952049255
eef_z,5,-0.09458594769239426,-0.16045279800891876,0.006263214163482189
rot_x,5,-1.643499732017517,-1.9306360483169556,-1.2682534456253052
rot_y,5,-0.34159889817237854,-0.6966477036476135,0.03457474336028099
rot_z,5,0.1344805210828781,0.002050381852313876,0.26139581203460693
gripper,5,0.056302446871995926,0.00273806881159544,0.08009347319602966
eef_x,6,-0.047161027789115906,-0.21323882043361664,0.07081306725740433
eef_y,6,0.20844684541225433,0.11998496204614639,0.2960607409477234
eef_z,6,-0.09950246661901474,-0.20202890038490295,0.03157055377960205
rot_x,6,-1.6817766427993774,-1.944847822189331,-1.2904653549194336
rot_y,6,-0.1767432540655136,-0.4340343177318573,0.08156079798936844
rot_z,6,0.17972233891487122,0.09011481702327728,0.2451878786087036
gripper,6,0.053103141486644745,0.024270938709378242,0.08009347319602966
eef_x,7,-0.1015903651714325,-0.27476683259010315,0.011614808812737465
eef_y,7,0.20722563564777374,0.08931785076856613,0.31341874599456787
eef_z,7,-0.07843635231256485,-0.15811780095100403,0.015489974059164524
rot_x,7,-1.5848774909973145,-1.8164734840393066,-1.1192034482955933
rot_y,7,-0.3676270842552185,-0.611343264579773,-0.1032794937491417
rot_z,7,0.16372720897197723,0.07447901368141174,0.24692271649837494
gripper,7,0.0553995706140995,0.024477515369653702,0.08009347319602966
eef_x,8,-0.07919938117265701,-0.24043706059455872,0.051579881459474564
eef_y,8,0.19357673823833466,0.09459242224693298,0.3352283537387848
eef_z,8,-0.08617514371871948,-0.15857790410518646,0.004243749193847179
rot_x,8,-1.624603509902954,-1.8648853302001953,-1.4269299507141113
rot_y,8,-0.31841912865638733,-0.5423539876937866,-0.12889330089092255
rot_z,8,0.1632193773984909,0.08875679224729538,0.23799733817577362
gripper,8,0.05632460117340088,0.026437202468514442,0.08009347319602966
eef_x,9,-0.08543688803911209,-0.21028722822666168,0.009065069258213043
eef_y,9,0.1991652250289917,0.09443214535713196,0.3497059643268585
eef_z,9,-0.07025504857301712,-0.16335485875606537,-0.005290130153298378
rot_x,9,-1.6973706483840942,-1.9456700086593628,-1.4247217178344727
rot_y,9,-0.282424658536911,-0.4699442684650421,-0.15115824341773987
rot_z,9,0.14309002459049225,0.05815568566322327,0.22936849296092987
gripper,9,0.05291463062167168,0.026434961706399918,0.08009347319602966
eef_x,10,-0.08339588344097137,-0.19524413347244263,0.006111496593803167
eef_y,10,0.21223747730255127,0.11232533305883408,0.3439008891582489
eef_z,10,-0.07234350591897964,-0.16760626435279846,0.02443053014576435
rot_x,10,-1.5970865488052368,-1.8731366395950317,-1.223894476890564
rot_y,10,-0.2966960370540619,-0.6538757681846619,-0.08341089636087418
rot_z,10,0.1575329303741455,0.06597671657800674,0.23039127886295319
gripper,10,0.05706513673067093,0.025224784389138222,0.08009347319602966
eef_x,11,-0.11308567225933075,-0.32139647006988525,0.07550003379583359
eef_y,11,0.21016258001327515,0.10830207169055939,0.33584079146385193
eef_z,11,-0.07321133464574814,-0.1351991444826126,-0.016561416909098625
rot_x,11,-1.6307741403579712,-1.9045147895812988,-1.43819260597229
rot_y,11,-0.2780103385448456,-0.655526876449585,0.030149217694997787
rot_z,11,0.1403806060552597,0.03013630397617817,0.2695724368095398
gripper,11,0.05446094274520874,0.002896255347877741,0.08009347319602966
eef_x,12,-0.11577002704143524,-0.3227781057357788,0.06702250242233276
eef_y,12,0.20402871072292328,0.009640061296522617,0.32705798745155334
eef_z,12,-0.10910450667142868,-0.22913944721221924,-0.007618156261742115
rot_x,12,-1.6830425262451172,-1.865835189819336,-1.5222474336624146
